name,src,img,tags,開催日,販売,住所,TEL,MAIL,Instagram,content,見学,WEB,Twitter,所要時間,駐車場,採用情報,オンラインショップ,Facebook,開催情報,見学予約,営業時間,入館料,注意事項,開催日時,予約方法,レストラン営業時間,ショップ,料金,予約,LINE,イベントページ,求人情報,見学料金,Mail,web,販売・見学,求人募集,備考
越前和紙の里 紙の文化博物館,https://renew-fukui.com/exhibitor/washi_museum/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/kaminobunka01-1024x683.jpg,工房見学,6-8日,,〒915-0232 福井県越前市新在家町11-12,0778-42-0016,museum@echizenwashi.jp,https://www.instagram.com/echizen.washi/,1500年を越える歴史を有する越前和紙。紙の文化博物館ではその発祥や長い歴史、和紙を取り巻く人々の営みを学ぶことができます。また、産地を代表する和紙を360点展示する他、創作的な襖紙やタペストリーなどもご覧いただけます。古来より公文書、書画、出版、建築など日本の文化を支えてきた越前和紙の魅力について触れてください。,6-8日 9:30-17:00（入館は16:30まで）,https://www.echizenwashi.jp/museum/,,45分,,,,,,,6-8日 9:30-17:00（入館は16:30まで）,高校生以下無料 / 入館料:大人300円 / 団体200円,"※15名様から団体割引となります。
※卯立の工芸館との共通入館料です。",,,,,,,,,,,,,,,
くめちゃん,https://renew-fukui.com/exhibitor/kumetyan/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/001IMG_3056-1-1024x683.jpg,ローカルフード,6-8日,※うるしの里会館フードコートにて出展,〒916-1237 福井県鯖江市北中町733-2,0778-65-1129,,,"年中無休で焼き鳥・焼肉を提供するくめちゃん。地元の人が方々から集うカウンター席は河和田の社交場です。
地元の人々に愛され、あたたかな雰囲気で食べる焼肉に、思わず笑顔になります。不思議といつもより開放的な気分になり、話に熱が入るのもいつもの風景。
店舗では、お座敷を備え、団体でも利用可能です。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒伊編織,https://renew-fukui.com/exhibitor/sakai_amiori/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/img02.jpg,"工房見学,ワークショップ,求人募集",6日,,〒916-0027 福井県鯖江市桜町2丁目1-5,0778-51-4640,info@amiori.co.jp,,鯖江市にある繊維加工会社です。主に国内大手スポーツ用品メーカーのOEM生産をしています。生地の開発～裁断～縫製～仕上げ～出荷まで、さらにプリントや刺繍、転写などの加工も可能です。この技術を使って「新しいものづくり」を模索しており、一般向けの加工サービスも準備中です。「ものづくり」のハードルを下げることで出来るだけ多くの人の「ものづくり」を応援していけたらと考えております。,9:00-12:00 / 13:00-17:00,https://sakaiamiori.com/,,30分～1時間,駐車場所は当日係員がご案内いたします。,一緒に働く人を募集しています。,,,,不要,,,"※危険な機械が多いため、指示に従って下さい。
※工房内の商品は、撮影禁止です。",,,,,,,,,,,,,,一緒に働く人を募集しています。,
長田製紙所,https://renew-fukui.com/exhibitor/osada/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/osada01-1024x683.jpg,"工房見学,工房見学予約受付,ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 10:00-12:00 / 13:00-17:00,〒915-0234 福井県越前市大滝町29-39,0778-42-0051,osadawashi@gmail.com,https://www.instagram.com/osadawashi/,長田製紙所は1909年創業の紙漉き工場です。手漉き襖紙の老舗として様々なデザインの襖を手がけてきました。現在は「かみと生きる、かみと暮らす」をテーマに、原料の煮熟から板張り乾燥まで、手作業ならではの襖紙や壁紙の製造、柿渋塗りや和紙雑貨の加工など、多岐にわたる仕事をしています。どのように作り、どのように使うのか。人と人との関わりの中で、多種多様な紙の文化を築いていければ嬉しいです。,6-8日 10:00-12:00 / 13:00-17:00,https://osada-washi.jp/,,10分程度,有り,,https://osadawashi.stores.jp/,https://www.facebook.com/osadawashi/,,不要,,,"【工場見学について】
少人数で工場を回しているため、毎日、紙漉きの全工程を行っているわけではございません。工場の営業がない日は作業は不定期となり、ご覧いただけない場合が多いですが、工場内現場をご覧いただけます。",,,,,,,,,,不要,,,,,
山うにの里 ほやっ停,https://renew-fukui.com/exhibitor/yamauni-hoyattei/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/image003.jpg,ローカルフード,6-8日,※期間中、お店も通常営業致します。（11:00-18:00）,〒916-1224 福井県鯖江市莇生田町12-1-1,070-2251-1991,seki@echizentai.com,https://www.instagram.com/yamauni.yuzuaka/,河和田の伝統薬味「山うに」。山うには柚子に赤なんば・唐辛子・塩をすり込んで作られる家庭の味です。山うにをより多くの人に知ってもらい、美味しく味わってもらうため、河和田で「山うに屋ほやっ停」を営んでいます。また、山うにを生かした様々な食材との加工品も製造し、一人でも多くの方にお届けできるよう努めています。,,http://echizentai.com/,,,,,,,,,,,,,,,,,,,,,,,,,,
土直漆器,https://renew-fukui.com/exhibitor/thuchinao/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/tsutinao01.jpg,"工房見学,ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 10:00-17:00,〒916‐1221 福井県鯖江市西袋町214,0778-65-0509,info@tsuchinao.com,https://www.instagram.com/tsuchinao_shikki/,"福井県鯖江市河和田を中心とする越前漆器は、その地域全体で分業体制が確立しており、素地作りや塗り、加飾など様々な工程を高度に専門化することで美しく堅牢な作品を生産しています。
土直漆器では、それぞれ専門の職人を抱え、素地作り以外の全工程（下地、中塗、上塗、蒔絵）を同じ工場内で細かい意思疎通を図りながら作業を進めます。
伝統的「技」を伝承する一級技能士を含めた熟練のスタッフと女性を含む若いスタッフが多いもの特徴です。
ベテランスタッフの伝統技術と若手スタッフの新しい発想、デザイン力をうまく融合し現代のニーズに応えたモノ作りを行っています。",6日 11:00- / 14:00- / 15:00-,https://tsuchinao.com/,,30分,有り,,https://www.rakuten.ne.jp/gold/tsuchinao-sikki/,,,予約不要 / 先着順,,,,,,,,,,,,,,,,,,
高橋工芸,https://renew-fukui.com/exhibitor/takahashikougei/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/PXL_20210915_021225562.PORTRAIT-1024x768.jpg,"工房見学,工房見学予約受付,ショップ",6・7日,6-7日 10:00-12:00 / 13:00-17:00,〒916-1115 福井県鯖江市落井町50-5-1,0778-65-0369,info@o-takahashikogei.com,https://www.instagram.com/takahashi_kougei_sabae/,鯖江市で100年近く続く越前漆器製造の会社です。創業時から様々な漆器製品の製造販売をしており、近年ではお茶道具や節句人形の屏風・台を中心に製造しています。社内では吹き付けによる塗りを中心に人の手で丁寧に作業しています。現在は日常に彩りを加えてより豊かにすることをコンセプトに自社製品の開発にも力を入れています。製品を通じて今より少しだけ大きな心のゆとりを生み出すことが弊社の目標です。,6-7日 10:00-12:00 / 13:00-17:00,https://o-takahashikogei.com,,15分程度,,,https://takahashikg.official.ec,,,,,,,,,,,,,,,,,,,,,
越前和紙ろまん・工房ひこざ,https://renew-fukui.com/exhibitor/romann/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/hikoza02-768x1024.jpg,ショップ,6-8日,6-8日 9:00-17:00,〒915-0233 福井県越前市岩本町10-37（大滝展示室）,0778-43-0033,h.yanase@ebony.plala.or.jp,,和紙を使った雑貨品の製造販売を行っています。食卓において…今日の楽しみ、明日の楽しみが発見出来る商品の開発をしてやさしさと心のゆとりを生み出す恋心ある和紙らしい和紙を展示しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill,https://renew-fukui.com/exhibitor/fill/,https://renew-fukui.com/kanri/wp-content/uploads/2023/09/DSC09670-4000x2667.jpg,ショップ,,,,,fill.aoym@gmail.com,https://www.instagram.com/fill_atelier_,"福井の閑静な住宅街で小さなアトリエを営んでいます。(@fill_atelier_) 
生活に寄り添う品を製作したりセレクトしたりしています。 2023年6月、original products水麗(生活衣服)がdebutしました。史や哲学を根源に、出会う人や場から恵みを受け取り育むもの、感情・感覚を通して生み出されるもの、麗しい水のように生きるための、そして活きるための衣服を展開しています。 renew3日間はRYOZO SHOP gallery space2Fに限定shopとして出店します。生活衣服、装飾の展示販売、越前和紙と融合した空間デザインをお楽しみください。 予約不要、どなたでもご覧いただけます。",,,,,,,,,7・8日 10:00-12:00 / 13:00-17:00,,,,,,,,,,,,,,,,,,,
井上リボン工業,https://renew-fukui.com/exhibitor/inoueribbon/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/DSCF9256-1024x768.jpg,"工房見学,工房見学予約受付,ショップ,求人募集",6-7日,6-7日 8:00-12:00 / 13:00-17:00,〒915-0233 岩本町9-4,0778-43-0810,imai@telala.com,,1948年に創業。細幅織物・編物の製造を専門とするメーカーとして、デザイン、設計から生産、染色加工、2次加工までの一貫生産を行っています。生産品は、2mmから100ｍmまでの細幅テープが主体で、インナーウェア、アウターウェア、スポーツウェア、産業資材への資材供給を主としています。「英知の結晶である独自商品を開発・生産し、社会に貢献する」という社是のもと、越前市ものづくり企業として、オリジナリティの高い商品を日々開発しています。創業70年を超えた今、100年目に向けて第二の創業と位置付け、伝統産業でありながらも常に新たな事業に取り組んでいきます。,6-7日 8:00-12:00 / 13:00-17:00,https://telala.com/,,20分,,,https://www.telalaonline.com/,,,"要予約
※来社前に必ずご連絡下さい",,,"・工房内では、写真撮影禁止です。
・工房内では、危険な機械もあるため、指示に従ってください。",,TEL：0778-43-0810,,,,,,,一緒に働く人を募集しています。,,,,,,
乾レンズ／Lens Park（レンズパーク）,https://renew-fukui.com/exhibitor/inui_lenspark/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/DSC_8225.jpg,"工房見学,工房見学予約受付,ワークショップ,ワークショップ予約受付,ショップ",6-8日,"6-8日 10:00-19:00（LensPark）
※L.O.18:30",〒916-0019 福井県鯖江市丸山町1-3-31,"0778-51-5447（乾レンズ）
0778-52-7977（レンズパーク）",yoyaku@inuilens.com（イベント予約用）,https://www.instagram.com/lenspark_sabae/?hl=ja,"福井県鯖江市は、眼鏡フレーム国内シェアナンバーワンのまち。
私たち乾レンズは1953年の創業以来、眼鏡やサングラスを通して日々の暮らしを快適に過ごしてもらうため、数々のレンズ製品をつくってきました。
そんな私たちのレンズ工場の隣にオープンした
LensPark（レンズパーク）は、目を守り、暮らしを楽しむことをテーマにした複合施設です。ギャラリーでレンズを選ぶ人、カフェで一息つく人、ショッピングを楽しむ人。それぞれが交わることを目指しています。さまざまな機能のレンズの中から自分にぴったりのレンズと出会い、“目を守る”ことの大切さを感じてみてください。","6-8日
10:00-10:50 / 11:00-11:50 / 13:00-13:50 / 14:00-14:50 / 15:00-15:50 / 16:00-16:50",https://www.inuilens.com/,,工場見学のみ40分,有り,,https://www.alltime-sunglass.shop/,https://www.facebook.com/inuilens.sabae/?ref=bookmarks,,予約優先 / 飛入り可,,,OEMのサングラスレンズ加工中です。写真が撮れない場所もあります。スタッフの指示に従ってください,,"TEL：0778-51-5447
MAIL：yoyaku@inuilens.com",,,,,,,,,,,,,
田舎生活体験　古民家ざくろの宿,https://renew-fukui.com/exhibitor/zakuronoyado/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/ccfb0ad11012abfe7d1284aa58c0a377-1024x683.jpg,宿泊,6-8日,,〒916-1235 福井県鯖江市上河内町25-3,090-7743-3555,ninnnik_reward_sea@yahoo.co.jp,,"ざくろの宿は、福井県鯖江市河和田地区にある素泊まり専用古民家です。コロナ以前は、漆器などの日本に興味がある外国人が２０か国からご利用いただいていましたが、最近は自炊宿ということで、キャンプ気分や恐竜博物館やスキーなど日本人の家族で気軽に利用される方増えています。また自然農法の体験や、自然散策。サイクリングなどにお勧めです。
近くには、福井名水の三場坂清水・桃源清水があります。徒歩２分に温泉施設ラポーセかわだがあります。河和田の自然を満喫してください。",,,,,,,,,,,チェックイン16:00- フリーチェックアウト14:00まで,,必ずご予約をお願い致します。,,TEL：090-6786-3988,,,,,,,,,,,,,
竹之助,https://renew-fukui.com/exhibitor/takenosuke/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/IMG_2116-1024x683.jpeg,"工房見学,ショップ",6・7・8日,6・7・8日 10:00-19:00,〒915-0023 福井県越前市池泉町2-9,0778-42-5576,info@takenosuke.com,https://www.instagram.com/takenosuke2015/,竹が竹として美しい。 切れば空洞、更に節がある。 何かを作ろうとするとその全てが行手を阻む。それが竹。 こんなにも扱いづらい材料を何故使うのか？ 答えは簡単「竹が大好きで美しいから」 竹は様々な形となって生活に溶け込んでいます。 食材になったり、食を楽しむ道具になったり、繊維を利用したり、はたまたフェンスになったり。 竹之助の目指す「竹って美しい」とは、竹が竹として愛されるものづくり。 限りなく竹として、竹の可能性をどこまでも探求し続ける旅である。,6・7・8日 10:00-19:00,https://takenosuke.com/,,10分,,,https://store.takenosuke.com/,https://www.facebook.com/takenosuke.2014,,,,,,,,,,,,,,,,,,,,
晃梅(梅忠商店),https://renew-fukui.com/exhibitor/koubai/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/kobai01-1024x684.jpg,"工房見学,ワークショップ,ショップ",6-8日,"6日 8:30-17:30 
7-8日 10:00-12:00/13:00-16:00",〒916-0019 福井県鯖江市丸山町1-1−21,0778-52-6338,info@kohbai.com,,日本で唯一、眼鏡製造に特化した機械工具・消耗資材の卸商社で、50年以上にわたり眼鏡製造にかかわる様々な商品を扱っています。眼鏡用の精密ドライバーやセル素材専用のセルヤスリ等、地元の職人さんに育てられた逸品工具は、手に取って初めてわかる良さがあります。RENEW開催中はWS実施のほか、弊社商品の小売りも対応します(現金のみ)。昔ながらの機械工具と現代の機械工具の両方を見て頂ける貴重な機会になると思います。,"6日 8:30-17:30
7-8日 10:00-12:00/13:00-16:00",www.kohbai.com,,10分,有り,一緒に働く人を募集しています。,https://umechu.myshopify.com/,,,,,,"※危険な機械が多いため、指示に従って下さい。
※撮影される場合は従業員に確認してください。",,,,,,,,,,,,,,,
RYOZO-柳瀬良三製紙所,https://renew-fukui.com/exhibitor/ryozo_seishisyo/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/image0-1-1024x858.jpeg,"工房見学,工房見学予約受付,ワークショップ,ワークショップ予約受付,ショップ,求人募集",6-8日,6-8日 10:00-17:00,〒915-0234 福井県越前市大滝町10-1,0778-42-1155,washi.ryozoyanase@outlook.com,https://www.instagram.com/yanase_syokunin/,"越前和紙の製造、小物販売、紙漉き体験工房の柳瀬良三製紙所です。柳瀬良三製紙所では1枚1枚手漉きしており、先代から伝わる和紙は光が透けるほど薄く、しなやかな風合いが特徴です。
くらしの中に溶け込んできた越前和紙。
独特の技術工法に触れ、越前和紙のことやこの産地のことを知っていただきたく、柳瀬良三製紙所ではショップと体験工房併設のオープンファクトリーとしております。",6・7日 9:00-10:00 / 10:30-11:30 / 13:00-16:30,https://ryozo875.thebase.in/,https://twitter.com/RYOZO11026480,20-30分,,一緒に働く人を募集しています。,https://ryozo875.thebase.in/,,,予約優先 / 飛入り可,,,,,TEL：0778-42-1155,,,,,,,,,,,,,
武生タンス町 三崎タンス店,https://renew-fukui.com/exhibitor/misakitansuten/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/topShopExte.jpg,"工房見学,工房見学予約受付,ショップ,求人募集",6・7日,6・7日 10:00-12:00 / 13:00-17:00,〒915-0822 福井県越前市元町5-10,0778-22-0568,kagu@misakitansu.com,,"初代・三崎半三郎が商家や寺社に出入りする指物師として信頼されたことで指物業を慶応元年ごろに創業いたしました。 江戸時代～明治時代には、商家の金庫代わりとして使われた「越前箪笥」や、檀那衆や寺社仏閣などのオーダー指物を製作してきました。
大正時代～昭和時代には、嫁入り道具としての「総桐たんす」で、親御さんが愛娘を送り出す親心のお手伝いをさせていただきました。
平成時代～令和になって、箪笥だけでなく「無垢木製品」のテーブルや棚類など、昔ながらの「越前指物」の意匠や技術を受け継ぎながら、現代のデザインや生活環境に即したオンリーワン商品をご提案しております。
地元に根差し、時代とともにお客様に寄り添い、現在まで１５０年以上続く老舗の家具店となり、ご愛顧頂いております。",6・7日 10:00-12:00,https://misakitansu.com,,10分,,一緒に働く人を募集しています。,,https://www.facebook.com/kagu8.net/,,要予約,,,,,※メールタイトルに【RENEW工房見学申込】と記入の上、メールをお送りください。,,,,,,,,,,,,,
越前 そば処 二男坊,https://renew-fukui.com/exhibitor/zinanbou/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/jinanbou01-1024x767.jpg,ローカルフード,6-8日,,〒916-0001 福井県鯖江市吉江町512,0778-51-4015,,,地元の人が足しげく通うお蕎麦屋さん。名物のあげおろし蕎麦は、サクサクのお揚げが絶品！こだわりの出汁つゆともよく合います。石臼で引いた蕎麦をはじめ、ソースカツや玉子カツ、そばから揚げからセットメニューまで、豊富なメニューがお楽しみいただけます。,,,,,,,,,,,7-8日　11:00-18:30,,,,,,,,,,,,,,,,,
うるしギャラリー久右衛門,https://renew-fukui.com/exhibitor/kyuuemon/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/IMG_0130-1-4000x2667.jpg,"工房見学,工房見学予約受付,ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 9:00-17:00,〒916-1222 福井県河和田町16-12,0778-65-0011,urushi9emon@gmail.com,https://www.instagram.com/urushigallerykyuuemon/,"丸山久右衛門商店は、1500年の伝統を誇る漆の里「河和田」で漆器の全行程を会得し、漆器業を広めてきた会社です。代々より宮内庁御用達の称号を受け、昭和54年には河和田で初めての勲五等瑞宝章を授与しました。現在、9代目の久右衛門は、1500年の伝統を守りながらも現代の生活に合致した漆器の提案に取り組んでいます。
また、うるしギャラリー久右衛門では、漆器のオンラインストアを中心に幅広い品揃えで販売を行っています。伝統と品質にこだわりながら、お客様に満足していただける漆器を提供しています。",6-8日 9:00-17:00,https://www.9emon.co.jp/,,,,,https://urushi9emon.com/,,,予約優先 / 飛入り可,,,,,（電話にて希望日時と時間、人数をお伝えください）,,,,,,,,,,,,,
五十嵐製紙,https://renew-fukui.com/exhibitor/igarashi/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/igarashi01-1024x684.jpg,"工房見学,ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 9:00-17:00,〒915-0233 福井県越前市岩本町12-14,0778-43-0267,wagamiya@angel.ocn.ne.jp,,創業100年の越前和紙製造メーカーです。壁紙・襖紙・小間紙・創作和紙・小物・Food Paper（捨ててしまう野菜や果物を漉き込んだ和紙）を漉いています。創作和紙は、最大10ｍサイズの和紙を漉く事が出来ます。また、海外にも輸出を行っており、有名アーティストにも好評を頂いています。いろんな厚さや模様・色など、多種多様な和紙を漉いています。,6-8日 9:00-17:00,http://www.wagamiya.com,,30-40分,,,https://wagamiya.stores.jp,,,,,,危険な機械もあるので、指示に従って下さい。工房内は床が濡れていますので、足元にご注意ください。,,,,,,,,,,,,,,,
山岸和紙店,https://renew-fukui.com/exhibitor/yamagishiwashi/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/pic_1-1024x683.jpg,"ワークショップ,ショップ,求人募集",6-8日,"6-7日 10:00-17:00
8日 10:00-16:00",〒915-0231 福井県越前市定友町23-7-1,0778-43-0308,info@washism.com,https://www.instagram.com/yamagishi_washi/,越前和紙の新たな価値を広める為、2018年にオリジナルブランド「sogoro(そうごろう)」を立ち上げました。「温故創新」をテーマに、身近に使えて日常がちょっとHAPPYになるような和紙商品をお届け致します。和紙が、人と人、地域と人、そして日本と世界をつなぐ架け橋になりますよう日々情報発信してまいります。,,https://washism.com/,,,,一緒に働く人を募集しています。,https://store.washism.com/,,,,,,,,,,,,,,,,,,,,,
TSUGI(SAVA!STORE),https://renew-fukui.com/exhibitor/tsugisavastore/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/TSUGI01-1-1024x683.jpg,"ワークショップ,ショップ,求人募集",6-8日,6-8日 10:00-18:00,〒916-1222 福井県鯖江市河和田町19-8,0778-65-0048,info@tsugilab.com,https://www.instagram.com/savastore_fukui/,"私たちTSUGIは、福井県鯖江市を拠点に活動するローカルクリエイティブカンパニーです。
2013年に結成し、以降産地の未来を醸成する様々なプロジェクトを展開した後、2015年に法人化。「福井を創造的な地域にする」をビジョンに、デザイン、商品開発、販路開拓までを一貫して行なっています。9月30日にリニューアルオープンしたばかりの「SAVA!STORE」では、福井のプロダクトや自社デザインの商品を取り扱っています。
TSUGIという名前は“次”の時代に向けて、その土地の文化や技術を引き“継ぎ”、新たな関係性を“接ぐ”という思いが込められており、地域に何が大切で何が必要かという問いに対して、リサーチと実践を繰り返しながら、領域を横断し、これからの時代に向けた創造的な産地づくりを行っています。",,https://tsugilab.com/,,,,"一緒に働く人を募集しています。
職種：ショップおよびEC担当",https://savastore.jp/,https://www.facebook.com/savastore.fukui,,,,,駐車スペースが限られているため、漆の里会館に駐車の上ご来店ください。,,,,,,,,,,,,,,,
福井WAZABI,https://renew-fukui.com/exhibitor/wazabi/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/RIMG0086-1024x768.jpg,ショップ,,,〒910-8582 福井市中央1-8-1 西武福井店5F,0776-28-8261,trad2016@ninus.ocn.ne.jp,https://www.instagram.com/fukuiwazabi/,"福井市の西武福井店5Fにある福井県の工芸品のセレクトショップです。
昨年に引き続き参加いたします。今回は草月陶房にてポップアップ出店いたします。",,,,,,,,https://www.facebook.com/search/top?q=%E7%A6%8F%E4%BA%95wazabi,6-8日 10:00-16:00,,,,,,,,,,,,,,,,,,,
サンユー,https://renew-fukui.com/exhibitor/sanyou/,https://renew-fukui.com/kanri/wp-content/uploads/2023/08/DSC1159-4000x2667.jpg,ショップ,6-8日,6-8日 10:00-17:00,〒916-1221 福井県鯖江市西袋町30-4,0778-65-0624,info@san-you.jp,https://www.instagram.com/airbanglesabae/,株式会社サンユーは、福井県鯖江市の地場産業である越前漆器と眼鏡の素材と職人の手技を使って、今までにない新しいアイデアをカタチにしています。主に、越前漆器の技を生かした雑貨と、越前漆器と眼鏡の素材などのコラボレーションによるオリジナルブランドなど、鯖江の技をベースにものづくりを展開。暮らしの中で見つけた使いやすさ、美しさ、心地良さ、楽しさなどの「気づき」を、産地ならではの匠の技と素材の魅力で具現化することで、使う人の気分を高め、日々を彩る、豊かなライフスタイルをご提案しています。,,https://sabae.san-you.jp/,https://twitter.com/airbanglesabae,,,,,,,,,,,,,,,,,,,,,,,,,
漆琳堂,https://renew-fukui.com/exhibitor/shitsurindo/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/1-1-1024x683.jpg,"工房見学,工房見学予約受付,ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 10:00-17:00,〒916-1221 福井県鯖江市西袋町701,0778-65-0630,info@shitsurindo.com,https://www.instagram.com/shitsurindo/,"漆琳堂は創業1793年（寛政5年）。福井県鯖江市で代々漆業に携わってきました。 自社ブランド「aisomo cosomo」や「お椀や うちだ」を発表し、2020年には長年受け継がれてきた漆塗りの技術を基に「RIN＆CO.」をデビューさせました。2016年本社工房の地に新しく直営店をオープン。
自社ブランドの他、1000種以上にも及ぶ業務用のお椀など、江戸時代から八代続く漆琳堂の仕事の数々を手にとってご覧いただけます。この地で育まれ、受け継がれてきた漆のモノづくりと、先人より引き継いできたものを次の世代へと引き継ぎながら、漆とお椀の文化を発信しております。",7•8日 10:45- / 13:45- / 15:45-,http://shitsurindo.com/,,30分,,,https://shitsurindo-onlinestore.com/,https://www.facebook.com/shitsurindo,,予約優先 / 飛入り可,,,,,WEB：https://reserva.be/shitsurindo,,,,,,,,,,,,,
かわだ尾花屋まちライブラリーWarashi café,https://renew-fukui.com/exhibitor/warashi-cafe/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/IMG_2966-1024x683.jpg,ローカルフード,6-8日 10:00-20:00,,〒916-1222 福井県鯖江市河和田町19-1-9,0778-65-0059,tengouryukikou@hotmail.co.jp,instagram.com/warashicafe,築100年を超える古民家で、三代続く商家「尾花屋」。2015年に自力改装して店舗・座敷を開放し、私設図書館とイベントスペース「かわだ尾花屋まちライブラリーWarashi café」となりました。野草茶飲み比べイベント、ダンスパーティー、子どもフェスなど、尾花屋で開かれる種々のイベントには地域の方々が集まり、くつろぎの場となっています。,,,,,,,,https://www.facebook.com/obanaya,,,,,,,,,,,,,,,,,,,,
井上徳木工,https://renew-fukui.com/exhibitor/inouetoku/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/d9a557937e2db5ac821f0dc74c0ca104-4000x2666.jpg,"工房見学,工房見学予約受付,ワークショップ",6-8日,,〒916-1222 福井県鯖江市河和田町26-19,0778-65-0338,info@tokumokkou.jp,https://www.instagram.com/tokumokkou/,"井上徳木工は鯖江市河和田町で創業60年ほどの木地工房で、箱物やお盆など越前漆器で角物（かくもの）といわれる伝統的な形や「曲げわっぱ」での曲げ物技法も取り入れた弁当箱や小判盆など幅広い木製品を手掛けています。私たちの仕事は塗りや加飾によって隠れてしまう製品がほとんどですが、その土台となる木地作りに自信とプライドを持って製作しています。
また現在は漆塗りで隠れてしまう加工の技法や製作過程でしか見えない造形美を活かすオリジナルブランド「Lr」を立ち上げて井上徳木工の技術や製品をより多くの方に知って頂けるようチャレンジしています。",6-7日 10:00-17:008日 10:00-16:00,https://lr-tokumokkou.jp/,,15-30分,,,https://tokumokkou.base.shop/,,,不要,,,※危険な機械が多いため、スタッフの指示に従って下さい。,,,,,,,,,,,,,,,
駒本蒔絵工房 / KOMAYA,https://renew-fukui.com/exhibitor/komaya/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/komamoto03-1-1024x680.jpg,"ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 10:00-17:00,〒916-1224 福井県鯖江市莇生田町14-5-1,0778-65-0377,mau.komaya.910@outlook.jp,https://www.instagram.com/komaya_9.10/,駒本蒔絵の工房は、河和田に流れる静かな川の近くにあります。その工房の中庭をぬけて現れるのは、隠れ家のような趣きのある建物。80才の伝統工芸職人を筆頭に、その技と技術を受け継いだ若き職人達がアクセサリーショップをオープンします。福井ならではの和紙や木の素材に、蒔絵を施したピアスやイヤリングはどれも必見。美しき伝統を活かした、全く新しいアクセサリーに是非触れてみてください。,,,,,有り,,,,,,,,,,,,,,,,,,,,,,,
Hacoa,https://renew-fukui.com/exhibitor/hacoa/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/hacoa01-1024x649.jpg,"工房見学,ワークショップ,ワークショップ予約受付,ショップ,求人募集",6-8日,6-8日 10:00-18:00,〒916-1221 福井県鯖江市西袋町503,0778-65-3112,info@hacoa.com,,"2001年に誕生したオリジナル木工ブランドです。
ハコアの母体となる工房は伝統工芸士・山口怜示が1962年福井県鯖江市に創業。1500年もの歴史を誇る越前漆器の産地にて、漆器の中でも「箱もの」といわれるお盆やお膳などの漆を塗る前の木地作りに従事し、生きている木と対峙する中でその技術を身につけてきました。
ハコアではその永年のものづくりで培ってきた技術力と伝統をベースに、インテリア用品やキッチン、ステーショナリー、PC周りのアイテムに至るまで、領域にとらわれない空間全体へのアプローチを視野に入れたものづくりを、デザインから製作まで一貫して行っています。",6-8日 10:00-18:00,https://hacoa.com/directstore/renew-2023/#workshop01,,5分,有り,,https://www.hacoa.net/,,,不要,,,,,,,,,,,https://hacoa.com/directstore/renew-2023/,一緒に働く人を募集しています。,,,,,,
